traffic,temperture,relative_humidity,wind_direction,wind_speed,pressure,condition,EPA,PM
7007,72,0.78,4,7,29.48,2,10.517,11.017
6008,72,0.64,1,16,29.3,7,3.617,1.4
6600,70,0.49,1,15,29.54,2,2.1,2.65
4937,70,0.68,9,5,29.51,8,4.8,4.883
7644,63,0.68,1,18,29.65,1,3.383,1.067
8054,95,0.12,13,17,29.27,2,4.567,1.883
6493,66,0.64,2,9,29.77,4,7.95,4.317
3309,77,0.44,17,9,29.48,2,4.333,2.65
4333,61,1.0,1,15,29.39,3,2.883,0.983
6865,68,0.52,1,13,29.59,4,4.583,4.567
5886,66,0.56,2,12,29.74,2,3.75,1.65
5087,75,0.57,8,6,29.33,7,11.217,7.633
2220.0,52,0.76,7,10,29.51,5,5.1,6.0
6793,88,0.33,16,7,29.54,2,15.983,14.917
7784,63,0.45,7,14,29.33,4,3.983,9.467
6217,70,0.64,14,8,29.51,2,2.3,4.8
7100,57,0.67,10,8,29.77,2,9.3,8.167
6229,93,0.2,5,17,29.42,2,10.433,6.183
1680.0,52,0.76,7,10,29.51,5,5.1,6.0
1444,63,0.94,8,8,29.33,7,1.35,6.567
1587,61,0.82,8,2,29.51,1,2.6,1.317
3946,84,0.22,11,12,29.16,2,8.55,1.767
7910,72,0.57,1,20,29.54,2,8.567,0.733
6594,84,0.35,16,7,29.36,2,20.45,22.467
4097,59,0.77,1,8,29.59,4,4.833,5.55
9223,88,0.24,2,14,29.3,2,12.85,17.917
6858,70,0.53,1,14,29.51,2,9.483,2.517
4624,61,0.72,1,12,29.56,1,3.233,4.833
8285,68,0.64,1,14,29.39,2,8.15,9.95
7835,70,0.6,3,8,29.45,1,4.9,2.917
1278,61,0.88,6,6,29.36,1,0.967,4.483
7372,55,0.88,4,9,29.59,2,0.833,4.367
3240.0,52,0.76,7,10,29.51,5,5.1,3.0
7210,64,0.42,1,18,29.74,2,9.033,5.617
8361,84,0.27,11,23,29.45,10,10.317,13.733
2531,72,0.5,11,24,29.45,10,8.1,4.4
5062,90,0.29,10,8,29.36,2,9.9,9.383
4365,61,0.82,3,13,29.42,3,7.25,4.3
3082,68,0.73,11,7,29.45,2,8.467,1.633
7671,61,0.88,4,6,29.56,2,5.517,3.733
5747,73,0.53,17,3,29.48,2,2.65,5.0
6182,70,0.64,3,12,29.71,2,6.617,3.7
4112,66,0.94,5,6,29.01,2,3.45,10.85
6610,61,0.77,1,15,29.65,1,1.067,5.083
2417,55,0.88,11,6,29.48,1,6.517,1.567
5893,59,0.94,3,13,29.33,3,5.667,2.617
2613,52,0.88,4,6,29.51,4,1.867,7.517
3835,61,0.88,3,16,29.54,6,1.717,7.783
4131,68,0.88,11,5,29.01,2,10.85,5.067
6731,70,0.53,1,12,29.54,1,3.367,4.333
6381,82,0.28,3,7,29.3,2,3.817,11.583
4709,72,0.69,3,9,29.04,2,7.283,3.933
2278,61,0.82,1,6,29.51,2,2.817,3.917
6714,61,0.88,1,17,29.39,3,10.033,4.233
3268,59,0.88,14,5,29.42,1,6.05,4.217
4557,63,0.77,4,8,29.33,2,9.75,9.45
7328,95,0.12,11,23,29.27,10,11.6,4.567
6029,72,0.64,6,8,29.24,1,5.1,4.35
1287,59,0.88,1,14,29.54,6,3.567,0.833
7904,72,0.53,3,12,29.45,1,2.917,7.4
1620.0,52,0.76,7,10,29.51,5,5.1,16.556
1140,52,0.82,4,13,29.39,1,1.117,7.6
7122,81,0.42,2,8,29.39,2,10.517,11.217
4758,61,0.82,1,13,29.68,7,5.083,4.617
3300.0,52,0.76,7,10,29.51,5,5.1,10.0
5427,70,0.56,3,12,29.65,2,9.717,8.217
5454,61,1.0,1,15,29.42,3,2.483,1.267
3729,61,0.48,8,15,29.62,1,9.583,12.967
4000,54,0.72,2,7,29.74,2,1.083,2.0
3521,64,0.64,4,6,29.3,2,9.45,8.933
6657,68,0.78,13,6,29.1,8,2.267,3.117
6657,63,0.88,1,18,29.45,1,7.317,5.9
7204,57,0.55,2,16,29.54,1,6.017,5.617
6484,61,0.94,1,17,29.45,5,2.35,7.317
3139,57,0.94,17,5,29.36,2,5.233,8.2
3213,61,0.63,3,10,29.54,5,2.2,7.05
7302,64,0.94,5,13,29.36,14,7.2,7.933
2730.0,52,0.76,7,10,29.51,5,5.1,4.0
3785,61,0.88,4,20,29.27,1,0.15,3.5
7751,57,0.55,1,10,29.71,1,8.617,11.267
5361,68,0.64,5,5,29.48,2,5.033,11.083
8091,75,0.57,14,8,29.51,5,6.767,1.5
